OBJECTID,Name,Type,x,y
118,Gerbang Jalur Sejati Gunung Sumbing,information,398111.1783,9180083.452
119,SILANCUR HIGHLAND,viewpoint,401559.449,9180314.071
120,Pasar Bubrah,camp_site,439258.3917,9167029.483
121,Taman Wisata Kopeng,attraction,435909.4412,9182155.703
122,Puncak Alap-Alap,viewpoint,430920.3867,9183423.273
123,Camp Area,camp_site,430508.9238,9183113.139
124,Taman Air Kalibening,attraction,414019.596,9179375.031
125,Batu Tulis,camp_pitch,437956.139,9176896.507
126,火山熔岩Gubug Merapi Arum Sari,viewpoint,433617.6988,9160194.064
127,Candi Umbul,attraction,422423.9096,9186439.88
128,Pemandian Air Panas Tirta Madu Barokah,attraction,410371.6695,9163193.981
129,Pemandian Air Panas Ngasinan,attraction,410377.7563,9163296.018
130,Teras Kaca,viewpoint,440749.7802,9103940.862
131,Laut Bekah,viewpoint,437729.0455,9104910.785
132,Pantai Kesirat,viewpoint,437763.747,9105001.38
133,Gunung Suru Sukorini,viewpoint,398066.0519,9130910.198
134,Bukit Wisata Pulepayung,attraction,403357.9097,9137722.15
135,Nyi Ageng Serang,artwork,407027.8046,9130484.671
136,Borobudur Highlands,camp_site,405258.3344,9154799.068
137,Puncak Goa Jepang,viewpoint,426009.2434,9115537.311
138,Patung Polisi,artwork,431074.3536,9139652.983
139,Batik Museum,museum,431349.4242,9138270.177
140,Galeri Lorong,museum,427603.5043,9135579.608
141,Bukit Jangkang,viewpoint,403463.9482,9135218.294
142,Bukit Bego,viewpoint,434198.684,9123859.711
143,Makam Raja-Raja Mataram Imogiri,viewpoint,433557.8098,9124386.399
144,Candi Sari,attraction,442025.2215,9142031.899
145,Candi Sambisari,attraction,439018.5402,9141932.965
146,Jogja National Museum,museum,428691.7347,9137750.941
147,Sobowono,camp_site,437267.7465,9155812.512
148,Grojogan Watu Purbo,attraction,427178.3329,9156561.948
149,Leksa Ganesha Batik,gallery,428734.5421,9129820.931
150,Kids Fun,theme_park,438383.6992,9134615.221
151,Sentra Wayang Kulit - Gendheng,artwork,424260.7722,9133296.545
152,Kalibiru,viewpoint,404014.8722,9136801.643
153,Bakpia,information,429484.7976,9137189.689
154,Museum Istana Yogyakarta,museum,429901.7082,9137655.434
155,Museum Kampung Hilang,museum,440245.9224,9155676.087
156,Wana Jonggol,camp_site,437219.7002,9153201.456
157,"Wisata Wonoasri, Pucang Kembar",viewpoint,436479.2822,9161185.529
158,The Lost World Castle,viewpoint,439470.814,9159464.324
159,Viewpoint Lava Solidified Merapi,viewpoint,438774.9464,9161790.845
160,Petilasan Mbah Marijan Kinahrejo,viewpoint,438680.1373,9161760.818
161,TPR Plawangan And Goa Japan Ground,picnic_site,436723.6148,9160992.614
162,Ketep,viewpoint,439075.2148,9161872.806
163,Gerpang Merapi,camp_site,439236.9521,9161372.21
164,MerapiLand,camp_site,439118.9127,9161376.173
165,Bunker Kaliadem,viewpoint,439077.9186,9161811.241
166,Candi Hati Kudus Yesus,attraction,425033.4262,9123808.124
167,Lepo Waterfall,attraction,441817.1285,9121156.395
168,Air Terjun Sri Gethuk,attraction,443743.4559,9121945.358
169,Seribu Batu Rumah Hobbit,attraction,437300.0617,9123332.484
170,Hutan Pinus Sari,attraction,437274.8216,9123822.47
171,Bukit Lintang Sewu,viewpoint,437787.2727,9125075.829
172,Hutan Pinus Asri,attraction,437770.8574,9124387.361
173,Hutan Pinus Becici,attraction,437970.6254,9126576.196
174,Watu Giring,attraction,459049.0981,9116074.32
175,Jalan Malioboro,information,430111.5085,9138860.47
176,Hobbit House Merapi,viewpoint,439508.2915,9159450.995
177,Nara Kupu Village,theme_park,435469.822,9154910.108
178,Gubug Merapi Arum Sari,viewpoint,433617.6988,9160194.064
179,Kali Opak 7 Bulan,theme_park,442991.3373,9146103.103
180,Watulumbung,viewpoint,424901.4654,9116411.375
181,Galeri Kahangnan,gallery,423276.5766,9131738.819
182,Puncak Clongop,viewpoint,455472.6596,9135489.644
183,Puncak Watu Wayang,viewpoint,450498.9561,9133302.961
184,Puncak Gunung Bagong,viewpoint,449635.9936,9133229.146
185,Gunung Nglanggeran,camp_site,449556.1281,9133242.934
186,Puncak Kleco,viewpoint,412543.0436,9147420.831
187,Gunung Lanang,viewpoint,405219.0278,9143580.005
188,Candi Kimpulan,information,435532.305,9150040.937
189,Selfie Park Taman Pule,theme_park,432360.8321,9135924.136
190,EMBUNG TONOGORO,viewpoint,415676.0198,9153345.642
191,Obelix Village,attraction,430895.3979,9150168.286
192,Pintu Masuk Ledok Sambi,theme_park,436874.4187,9154764.747
193,Tlogo Putri Kaliurang,information,437274.418,9160543.469
194,BUKIT 94 (Bukit Songo Papat),camp_site,436071.9212,9159971.412
195,TLCN Jeep Tour Merapi,attraction,438054.4874,9159636.522
196,Sawah Kerjo,viewpoint,467858.1764,9119185.661
197,Asram edupark,theme_park,428658.2859,9146338.324
198,Museum Dewantara Kirti Griya,museum,431468.2011,9137158.679
199,Museum Sidik Martowidjojo,museum,429760.6467,9136820.59
200,Blue Lagoon,attraction,439389.5173,9148344.205
201,Glamping Seribu Batu,camp_site,437306.4952,9123415.476
202,Suraloka Interactive Zoo,zoo,436145.6313,9159054.721
203,Museum Perjuangan Yogyakarta,museum,430744.4022,9135939.885
204,Cemeti - Institute for Art and Society,gallery,429703.5559,9135807.433
205,Batik and puppet workshop,attraction,429674.8164,9136781.058
206,Puppet workshop,attraction,429672.1994,9136790.959
207,"Pulo Kenanga (highest building in Tamansari, ruins)",museum,429499.0635,9136885.202
208,jogjahydrographic,artwork,429985.2219,9141516.926
209,Ndalem Joyokusuman,information,429755.4689,9137048.715
210,Diorama Arsip Jogja,museum,434607.3705,9137725.312
211,LAV Gallery,artwork,429623.9269,9135637.625
212,Pesanggrahan Ambarbinangun,camp_site,426794.7472,9136284.054
213,Bukit Paralayang Watuguprit,viewpoint,427948.6705,9112673.642
214,Goa Jepang,attraction,426062.2862,9115516.778
215,Bumi Perkemahan dan Wana Desa Sri Opak,camp_site,428295.153,9119422.851
216,Puncak Kayangan,viewpoint,426010.7347,9115386.533
217,Museum Pangeran Diponegoro,museum,428499.8759,9139171.069
218,Situs Warungboto,attraction,433101.8193,9136619.539
219,Kebun Buah Mangunan,viewpoint,436603.4243,9122126.864
220,Bukit Mojo (wooden lookouts),viewpoint,437548.2762,9120515.817
221,Bukit Panguk Kediwung - sunrise,attraction,438343.7827,9120109.442
222,Goa Lawa,attraction,450882.973,9112909.884
223,Luweng Sampang Watery Curtains,attraction,451708.5735,9136787.961
224,Ruang Mes 56,museum,430197.8472,9135382.997
225,Batik Kelik,artwork,430512.9584,9134995.325
226,Tugu Garuda,museum,432254.171,9132522.881
227,Kaula Leather,artwork,428052.5761,9135654.026
228,Kalpiko Batik course,artwork,429359.003,9136871.313
229,Pinnus Pengger,attraction,440373.57,9129900.51
230,Ardhi M. Imam,information,435474.8561,9137210.125
231,bale banjar sangkring art space,museum,427569.8109,9136399.618
232,Plennger Pain Forest,viewpoint,440356.5849,9130060.473
233,Bukit Tambaling (wood lookouts),viewpoint,436901.0515,9121393.367
234,Wista watu goyang,viewpoint,435197.5419,9123719.91
235,Sandboarding Tirto Segoro,attraction,425176.7575,9114026.246
236,Becici,viewpoint,437656.7389,9126668.483
237,Mandala Majapahit UGM,museum,431463.1883,9140853.022
238,Puncak Bucu,viewpoint,438600.0649,9130959.3
239,Gunungan,artwork,396657.8767,9127683.711
240,Hamemayu Hayuningrat,artwork,396768.8783,9127994.318
241,toko boeaya,artwork,435620.6471,9139828.133
242,jogjahydrographic,artwork,429983.6358,9141515.74
243,Freedom Batik Art Exposition,museum,429988.7,9138397.592
244,Gunung Seplawan,viewpoint,402119.9219,9140739.69
245,Puncak Gunung Gajah,viewpoint,401505.6285,9140214.682
246,Candi Gebang,attraction,435628.9136,9143137.796
247,Wisata Alam Kalibiru,viewpoint,403876.84,9137060.187
248,Museum RS Mata Dr Yap Prawirohusodo,museum,431084.2043,9139896.489
249,Tugu Udang Wisata Kaliurang,artwork,436797.2676,9159517.708
250,Nawang Jagad,viewpoint,436241.5913,9160184.48
251,Elang jawa,artwork,437216.2232,9160539.435
252,Panorama View,viewpoint,436760.9172,9161063.275
253,Taman Gardu Pandang,viewpoint,436508.4912,9160663.196
254,Museum Mini Merapi Sisa Hartaku,museum,439233.4051,9159831.539
255,Jembatan & Talang Plunyon Kalikuning,viewpoint,437771.1236,9159714.813
256,Bukit Pronojiwo,viewpoint,437851.756,9160981.932
257,Bunker Kaliadem,viewpoint,439098.2669,9161771.457
258,Langgeng Art Foundation,museum,429390.151,9135775.47
259,Museum UGM,museum,431415.9219,9140654.635
260,bird market,attraction,428875.9087,9135029.914
261,RuangDalam Art House,gallery,427442.8833,9135390.723
262,SURVIVE ! Garage,artwork,427586.7763,9136061.979
263,Watu Tapak Camp Hill,camp_site,445337.5748,9139998.566
264,Kalisuci Cave Tubing,attraction,460218.7347,9114600.705
265,PUNCAK WIDOSARI,attraction,406082.7796,9153435.972
266,Redbase,gallery,429767.1157,9131714.367
267,Candi Morangan,viewpoint,441490.6561,9150504.7
268,Natural stone,artwork,426271.2336,9156067.146
269,Stonehenge Merapi,attraction,439045.2002,9159629.361
270,Songgo Langit,viewpoint,437884.385,9123594.393
271,"Museum Pusat TNI AD ""Dharma Wiratama""",museum,431138.1664,9139702.906
